"","Value","Std.Error","DF","t.value","p.value"
"(Intercept)",-53.308253440587,11.9968970731911,526,-4.44350344221193,1.07979134305587e-05
"regiondors",12.0996560227094,4.95633465758992,526,2.44125081509185,0.014965110623561
"regionhead",24.5042902678828,4.88715567179603,526,5.01401876950596,7.29787475015234e-07
"regionmite",2.22307965129883,5.14692170748006,526,0.431924124291226,0.665973554966008
"regionvent",8.92058599832236,4.92199704281609,526,1.81239158023112,0.0704957273234059
"mass_g",1.14258317015305,0.36529864714791,131,3.12780564361197,0.00217061098066664
"cloacal_temp_C",1.97171539581111,0.348336026977659,131,5.66038320215889,9.10590715325004e-08
"abs_humidity_g_m3_interpol",1.1350132638296,1.00077241843375,131,1.13413723532264,0.258808113098896
"regiondors:mass_g",-1.02811353004103,0.45091216560186,526,-2.28007494246412,0.0230026145811634
"regionhead:mass_g",-1.62016720039147,0.445815646075506,526,-3.63416406457182,0.000306262727624466
"regionmite:mass_g",0.393411575415146,0.466617900981888,526,0.843112907985964,0.399548522884951
"regionvent:mass_g",0.163184942628883,0.447965253400079,526,0.364280357439112,0.715795057243884
"temp_C_interpol:abs_humidity_g_m3_interpol",0.0199836789709941,0.0237549608516385,131,0.841242344948579,0.401745164658352
