Date;Time;Temperature (°F);Relative Humidity (% RH)
4/26/21;12:00:00 AM;49.6;100.0
4/26/21;12:15:00 AM;49.7;100.0
4/26/21;12:30:00 AM;49.8;100.0
4/26/21;12:45:00 AM;50.0;100.0
4/26/21;1:00:00 AM;50.0;100.0
4/26/21;1:15:00 AM;50.2;100.0
4/26/21;1:30:00 AM;50.4;100.0
4/26/21;1:45:00 AM;50.5;100.0
4/26/21;2:00:00 AM;50.5;100.0
4/26/21;2:15:00 AM;50.5;100.0
4/26/21;2:30:00 AM;50.5;100.0
4/26/21;2:45:00 AM;50.4;100.0
4/26/21;3:00:00 AM;50.5;100.0
4/26/21;3:15:00 AM;50.5;100.0
4/26/21;3:30:00 AM;50.7;100.0
4/26/21;3:45:00 AM;50.8;100.0
4/26/21;4:00:00 AM;50.8;100.0
4/26/21;4:15:00 AM;50.5;100.0
4/26/21;4:30:00 AM;49.8;100.0
4/26/21;4:45:00 AM;48.6;100.0
4/26/21;5:00:00 AM;48.3;100.0
4/26/21;5:15:00 AM;48.5;100.0
4/26/21;5:30:00 AM;48.6;100.0
4/26/21;5:45:00 AM;48.8;100.0
4/26/21;6:00:00 AM;48.9;100.0
4/26/21;6:15:00 AM;48.9;100.0
4/26/21;6:30:00 AM;48.4;100.0
4/26/21;6:45:00 AM;48.2;100.0
4/26/21;7:00:00 AM;48.9;100.0
4/26/21;7:15:00 AM;49.2;100.0
4/26/21;7:30:00 AM;50.0;100.0
4/26/21;7:45:00 AM;50.8;100.0
4/26/21;8:00:00 AM;50.6;100.0
4/26/21;8:15:00 AM;50.8;100.0
4/26/21;8:30:00 AM;51.1;98.2
4/26/21;8:45:00 AM;53.2;96.3
4/26/21;9:00:00 AM;55.8;80.9
4/26/21;9:15:00 AM;57.2;72.5
4/26/21;9:30:00 AM;57.2;70.8
4/26/21;9:45:00 AM;57.4;69.5
4/26/21;10:00:00 AM;56.3;72.2
4/26/21;10:15:00 AM;56.0;73.3
4/26/21;10:30:00 AM;56.4;74.2
4/26/21;10:45:00 AM;57.5;73.2
4/26/21;11:00:00 AM;57.6;72.5
4/26/21;11:15:00 AM;59.1;70.6
4/26/21;11:30:00 AM;58.8;71.9
4/26/21;11:45:00 AM;58.4;72.0
4/26/21;12:00:00 PM;59.4;70.2
4/26/21;12:15:00 PM;60.3;68.5
4/26/21;12:30:00 PM;60.3;67.7
4/26/21;12:45:00 PM;60.7;66.7
4/26/21;1:00:00 PM;60.7;65.5
4/26/21;1:15:00 PM;60.9;65.8
4/26/21;1:30:00 PM;60.7;64.8
4/26/21;1:45:00 PM;61.1;62.3
4/26/21;2:00:00 PM;61.5;59.8
4/26/21;2:15:00 PM;61.2;60.1
4/26/21;2:30:00 PM;62.1;58.4
4/26/21;2:45:00 PM;62.1;56.1
4/26/21;3:00:00 PM;61.6;55.4
4/26/21;3:15:00 PM;61.7;55.4
4/26/21;3:30:00 PM;61.3;56.1
4/26/21;3:45:00 PM;60.4;57.2
4/26/21;4:00:00 PM;59.3;56.6
4/26/21;4:15:00 PM;59.4;58.6
4/26/21;4:30:00 PM;59.0;61.8
4/26/21;4:45:00 PM;58.4;65.8
4/26/21;5:00:00 PM;58.5;67.4
4/26/21;5:15:00 PM;58.3;68.3
4/26/21;5:30:00 PM;57.9;69.1
4/26/21;5:45:00 PM;56.9;70.4
4/26/21;6:00:00 PM;56.3;71.3
4/26/21;6:15:00 PM;55.5;72.8
4/26/21;6:30:00 PM;54.4;75.4
4/26/21;6:45:00 PM;54.3;76.6
4/26/21;7:00:00 PM;53.7;77.9
4/26/21;7:15:00 PM;52.5;81.8
4/26/21;7:30:00 PM;51.9;84.5
4/26/21;7:45:00 PM;51.4;85.8
4/26/21;8:00:00 PM;51.0;87.0
4/26/21;8:15:00 PM;50.5;87.8
4/26/21;8:30:00 PM;50.1;89.2
4/26/21;8:45:00 PM;49.7;90.4
4/26/21;9:00:00 PM;49.1;91.0
4/26/21;9:15:00 PM;48.3;93.0
4/26/21;9:30:00 PM;47.6;95.4
4/26/21;9:45:00 PM;46.9;96.9
4/26/21;10:00:00 PM;46.6;98.2
4/26/21;10:15:00 PM;46.3;98.5
4/26/21;10:30:00 PM;45.6;98.9
4/26/21;10:45:00 PM;45.1;99.8
4/26/21;11:00:00 PM;44.9;100.0
4/26/21;11:15:00 PM;44.6;100.0
4/26/21;11:30:00 PM;44.8;100.0
4/26/21;11:45:00 PM;45.8;100.0
4/27/21;12:00:00 AM;46.4;100.0
